,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,Company_txt,Job_State,age_of_company,python_yn,sql_yn,excel_yn,spark_yn,aws_yn,job_simp,seniority,job_state,desc_len
10,Data Scientist,$60K - $140K (Employer est.),"Morrison Foerster LLP, an Am Law 50 law firm with 18 offices worldwide, has an opening for a Data Scientist within our Information Technology Department) in our Austin Boston Denver Los Angeles Miami New York Palo Alto San Diego San Francisco Washington, D.C. office.
The Opportunity
Guided by department and firmwide objectives and priorities and under the direction of the Director of Data Science Analytics, participates in and contributes to improving firm strategy, delivery of legal services, and operations using data science tools and techniques. Partners with the Director to develop and gain buy-in for the program strategy, identifying the individuals, resources, and tools necessary to accomplish the strategy. Ensures execution and ongoing operations of same. Along with the Director, functions as a thought leader within the firm and possesses substantial data science experience in a variety of industries and scenarios. Ensures client service and satisfaction are attained in all areas of position.",3.9,"Morrison & Foerster
3.9",United States,1001 to 5000 Employees,1883,Private Practice / Firm,Legal,Legal,$1 to $5 billion (USD),60,140,100.0,Morrison & Foerster,United States,140,0,0,0,0,0,data scientist,na,USA,1014
11,Data Scientist,$60K - $140K (Employer est.),"Interwell Health is a kidney care management company that partners with physicians on its mission to reimagine healthcare—with the expertise, scale, compassion, and vision to set the standard for the industry and help patients live their best lives. We are on a mission to help people and we know the work we do changes their lives. If there is a better way, we will create it. So, if our mission speaks to you, join us!

Interwell Health is a kidney care management company that partners with physicians on its mission to reimagine healthcare—with the expertise, scale, compassion, and vision to set the standard for the industry and help patients live their best lives. We are on a mission to help people and we know the work we do changes their lives. If there is a better way, we will create it. So, if our mission speaks to you, join us!
The ideal data science candidate is a motivated and skilled professional with a strong background in quantitative disciplines such as Computer Science, Statistics, or Mathematics. They possess a deep understanding of data analysis techniques, machine learning, and statistical modeling. This candidate is adept at translating complex data into actionable insights, displaying proficiency in programming languages like Python or R, and has a proven track record of solving real-world problems using data-driven approaches. Additionally, they exhibit effective communication skills and can collaborate seamlessly with cross-functional teams to drive impactful business outcomes.",3.7,"Interwell Health
3.7",Remote,Unknown,-1,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,60,140,100.0,Interwell Health,Remote,-1,1,0,0,0,0,data scientist,na,Remote,1519
12,Specialist-Data Scientist,$60K - $140K (Employer est.),"Join AT&T and reimagine the communications and technologies that connect the world. We’re committed to those who seek to discover the undiscoverable and dare to disrupt the norm. Bring your bold ideas and fearless risk-taking to redefine connectivity and transform how the world shares stories and experiences that matter. When you step into a career with AT&T, you won’t just imagine the future – you’ll create it.
As a Sr. Specialist Data Scientist, you will:
Translate business problems to insights and codes solutions using data extraction, cleansing, feature engineering, exploratory data analysis, model selection/creation.
Design, build, and analyze large and complex data sets from various structured and unstructured sources while thinking strategically about data use and data design.",3.6,"AT&T
3.6","Plano, TX",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),60,140,100.0,AT&T,TX,147,0,0,0,0,0,data scientist,na,TX,794
13,Specialist-Data Scientist,$60K - $140K (Employer est.),"Join AT&T and reimagine the communications and technologies that connect the world. We’re committed to those who seek to discover the undiscoverable and dare to disrupt the norm. Bring your bold ideas and fearless risk-taking to redefine connectivity and transform how the world shares stories and experiences that matter. When you step into a career with AT&T, you won’t just imagine the future – you’ll create it.
As a Sr. Specialist Data Scientist, you will:
Translate business problems to insights and codes solutions using data extraction, cleansing, feature engineering, exploratory data analysis, model selection/creation.
Design, build, and analyze large and complex data sets from various structured and unstructured sources while thinking strategically about data use and data design.",-1.0,"AT&T
3.6","Plano, TX",-1,-1,unknown,unknown,unknown,-1,60,140,100.0,AT&T3.6,TX,-1,0,0,0,0,0,data scientist,na,TX,794
14,Specialist-Data Scientist,$60K - $140K (Employer est.),"Join AT&T and reimagine the communications and technologies that connect the world. We’re committed to those who seek to discover the undiscoverable and dare to disrupt the norm. Bring your bold ideas and fearless risk-taking to redefine connectivity and transform how the world shares stories and experiences that matter. When you step into a career with AT&T, you won’t just imagine the future – you’ll create it.
As a Sr. Specialist Data Scientist, you will:
Translate business problems to insights and codes solutions using data extraction, cleansing, feature engineering, exploratory data analysis, model selection/creation.
Design, build, and analyze large and complex data sets from various structured and unstructured sources while thinking strategically about data use and data design.",-1.0,"AT&T
3.6","Plano, TX",-1,-1,unknown,unknown,unknown,-1,60,140,100.0,AT&T3.6,TX,-1,0,0,0,0,0,data scientist,na,TX,794
15,Data Scientist,$60K - $140K (Employer est.),"Company Description

McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries that serve 70 million customers daily. As the global leader in the food service industry, our legacy of innovation and hard work continues to drive us.
From drive thru updates to delivery to mobile order and pay, we are innovating quickly and growing. Joining McDonald's means thinking big and preparing for a career that can have influence around the world.
At McDonald’s, we see every day as a chance to create positive impact. We lead through our values centered on inclusivity, service, integrity, community and family. From support of Ronald McDonald House Charities to our Youth Opportunity project and sustainability initiatives, our values keep us dedicated to using our scale for good: good for our customers, people, industry and planet. We also offer outstanding benefits including a sabbatical program, tuition assistance and flexible work arrangements.",3.5,"McDonald's Corporation
3.5","Chicago, IL",10000+ Employees,1955,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),60,140,100.0,McDonald's Corporation,IL,68,0,0,0,0,0,data scientist,na,IL,999
16,Data Scientist,$60K - $140K (Employer est.),"About us
We are professional and agile.
Our work environment includes:
Modern office setting
Food provided
Responsibilities:
- Utilize data mining techniques to extract insights and patterns from large datasets
- Develop and implement algorithms and models for predictive analytics
- Collaborate with cross-functional teams to identify business problems and provide data-driven solutions
- Conduct statistical analysis and hypothesis testing to support decision-making processes
- Create data visualizations and reports to communicate findings to stakeholders
- Stay up-to-date with the latest advancements in data science and analytics",-1.0,Helix Tech IT solution,"Chapel Hill, NC",-1,-1,unknown,unknown,unknown,-1,60,140,100.0,Helix Tech IT solution,NC,-1,0,0,0,0,0,data scientist,na,NC,636
17,"Data Scientist, Growth and Marketing",$60K - $140K (Employer est.),"Company Description

Dropbox is a special place where we are all seeking to fulfill our mission to design a more enlightened way of working. We’re looking for innovative talent to join us on our journey. The words shared by our founders at the start of Dropbox still ring true today.

Wouldn’t it be great if our working environment—and the tools we use—were designed with people’s actual needs in mind? Imagine if every minute at work were well spent—if we could focus and spend our time on the things that matter. This is possible, and Dropbox is connecting the dots.

The nearly 3,000 Dropboxers around the world have helped make Dropbox a living workspace - the place where people come together and their ideas come to life. Our 700+ million global users have been some of our best salespeople, and they have helped us acquire customers with incredible efficiency. As a result, we reached a billion dollar revenue run rate faster than any software-as-a-service company in history.

Dropbox is making the dream of a fulfilling and seamless work life a reality. We hope you’ll join us on the journey.

Team Description

Our Product team advocates for our users and our business, setting the vision for our growing family of products. We use data, research, strategy, and empathy to guide multidisciplinary teams toward a common goal, balancing diverse perspectives and empowering our teams to do great work. As we scale globally, there’s plenty of space for you to grow alongside us and simplify life for millions of people around the world in team that always focuses on we, not I, and creates delightful products that are worthy of trust.

Role Description

We're looking for a Data Scientist to partner with revenue, marketing, and product teams to answer key questions about how to grow revenue, optimize product, scale and monetize the business, and launch high-impact initiatives. We solve challenging problems and boost business growth through a deep understanding of user behaviors with applied analytics techniques and business insights. An ideal candidate should have robust knowledge of consumer lifecycle and behavior analysis, customer segmentation, digital campaigns, monetization analytics and business operations for a SaaS company.
Responsibilities

Develop a deep understanding of customer journey phases and key business metrics
Perform analytical deep-dives to analyze problems and opportunities, identify the hypothesis and design & execute experiments
Inform future experimentation design and roadmaps by performing exploratory analysis to understand user engagement behavior and derive insights
Create personalized segmentation strategies leveraging propensity models to enable targeting of offers and experiences based on user attributes
Identify key trends and build automated reporting & executive-facing dashboards to track the progress of acquisition, monetization, and engagement trends.
Extract actionable insights through analyzing large, complex, multi-dimensional customer behavior data sets
Monitor and analyze a high volume of experiments designed to optimize the product for user experience and revenue & promote best practices for multivariate experiments
Translate complex concepts into implications for the business via excellent communication skills, both verbal and written
Understand what matters most and prioritize ruthlessly
Work with cross-functional teams (including Data Science, Marketing, Product, Engineering, Design, User Research, and senior executives) to rapidly execute and iterate
Requirements

Statistics, Applied Mathematics, Economics, Computer Science, Engineering, or related field
3-5 years experience using analytics to drive key business decisions; examples include business/product/marketing analytics, business intelligence, strategy consulting
Proven track record of being able to work independently and proactively engage with business stakeholders with minimal direction
Significant experience with SQL and large unstructured datasets such as Hadoop
Deep understanding of statistical analysis, experimentation design, and common analytical techniques like regression, decision trees
Solid background in running multivariate experiments to optimize a product or revenue flow
Strong verbal and written communication skills
Proficiency in programming/scripting and knowledge of statistical packages like R or Python is a plus

Total Rewards

Dropbox takes a number of factors into account when determining individual starting pay, including job and level they are hired into, location/metropolitan area, skillset, and peer compensation. We target most new hire offers between the minimum up to the middle of the range.

Salary/OTE is just one component of Dropbox’s total rewards package. All regular employees are also eligible for the corporate bonus program or a sales incentive (target included in OTE) as well as stock in the form of Restricted Stock Units (RSUs).


Dropbox uses the zip code of an employee’s remote work location to determine which metropolitan pay range we use. Current US Zone locations are as follows:
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families. Our benefits and perks programs include, but are not limited to:

Competitive medical, dental and vision coverage

(US Only) Competitive 401(k) Plan with a generous company match and immediate vesting

Flexible Time Off/Paid Time Off, paid holidays, Volunteer time off and more

Protection Plans including; Life Insurance, Disability Insurance and Travel benefit plans

Perks Allowance to be used on what matters most to you, whether that’s wellness, learning and development, food & groceries, and much more

Parental benefits including; Parental Leave, Child and Adult Care, Day Care FSA (US Only), Fertility Benefits (US Only), Adoption and Surrogacy support and Lactation Support

Mental Health and Wellness benefits Free Dropbox space for your friends and family

Additional benefits details are available upon request.

Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland).",4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,60,140,100.0,Dropbox,Remote,16,1,1,1,0,0,data scientist,na,Remote,6481
18,"Data Scientist, Growth and Marketing",$60K - $140K (Employer est.),"Company Description

Dropbox is a special place where we are all seeking to fulfill our mission to design a more enlightened way of working. We’re looking for innovative talent to join us on our journey. The words shared by our founders at the start of Dropbox still ring true today.

Wouldn’t it be great if our working environment—and the tools we use—were designed with people’s actual needs in mind? Imagine if every minute at work were well spent—if we could focus and spend our time on the things that matter. This is possible, and Dropbox is connecting the dots.

The nearly 3,000 Dropboxers around the world have helped make Dropbox a living workspace - the place where people come together and their ideas come to life. Our 700+ million global users have been some of our best salespeople, and they have helped us acquire customers with incredible efficiency. As a result, we reached a billion dollar revenue run rate faster than any software-as-a-service company in history.

Dropbox is making the dream of a fulfilling and seamless work life a reality. We hope you’ll join us on the journey.

Team Description

Our Product team advocates for our users and our business, setting the vision for our growing family of products. We use data, research, strategy, and empathy to guide multidisciplinary teams toward a common goal, balancing diverse perspectives and empowering our teams to do great work. As we scale globally, there’s plenty of space for you to grow alongside us and simplify life for millions of people around the world in team that always focuses on we, not I, and creates delightful products that are worthy of trust.

Role Description

We're looking for a Data Scientist to partner with revenue, marketing, and product teams to answer key questions about how to grow revenue, optimize product, scale and monetize the business, and launch high-impact initiatives. We solve challenging problems and boost business growth through a deep understanding of user behaviors with applied analytics techniques and business insights. An ideal candidate should have robust knowledge of consumer lifecycle and behavior analysis, customer segmentation, digital campaigns, monetization analytics and business operations for a SaaS company.
Responsibilities

Develop a deep understanding of customer journey phases and key business metrics
Perform analytical deep-dives to analyze problems and opportunities, identify the hypothesis and design & execute experiments
Inform future experimentation design and roadmaps by performing exploratory analysis to understand user engagement behavior and derive insights
Create personalized segmentation strategies leveraging propensity models to enable targeting of offers and experiences based on user attributes
Identify key trends and build automated reporting & executive-facing dashboards to track the progress of acquisition, monetization, and engagement trends.
Extract actionable insights through analyzing large, complex, multi-dimensional customer behavior data sets
Monitor and analyze a high volume of experiments designed to optimize the product for user experience and revenue & promote best practices for multivariate experiments
Translate complex concepts into implications for the business via excellent communication skills, both verbal and written
Understand what matters most and prioritize ruthlessly
Work with cross-functional teams (including Data Science, Marketing, Product, Engineering, Design, User Research, and senior executives) to rapidly execute and iterate
Requirements

Statistics, Applied Mathematics, Economics, Computer Science, Engineering, or related field
3-5 years experience using analytics to drive key business decisions; examples include business/product/marketing analytics, business intelligence, strategy consulting
Proven track record of being able to work independently and proactively engage with business stakeholders with minimal direction
Significant experience with SQL and large unstructured datasets such as Hadoop
Deep understanding of statistical analysis, experimentation design, and common analytical techniques like regression, decision trees
Solid background in running multivariate experiments to optimize a product or revenue flow
Strong verbal and written communication skills
Proficiency in programming/scripting and knowledge of statistical packages like R or Python is a plus

Total Rewards

Dropbox takes a number of factors into account when determining individual starting pay, including job and level they are hired into, location/metropolitan area, skillset, and peer compensation. We target most new hire offers between the minimum up to the middle of the range.

Salary/OTE is just one component of Dropbox’s total rewards package. All regular employees are also eligible for the corporate bonus program or a sales incentive (target included in OTE) as well as stock in the form of Restricted Stock Units (RSUs).


Dropbox uses the zip code of an employee’s remote work location to determine which metropolitan pay range we use. Current US Zone locations are as follows:
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families. Our benefits and perks programs include, but are not limited to:

Competitive medical, dental and vision coverage

(US Only) Competitive 401(k) Plan with a generous company match and immediate vesting

Flexible Time Off/Paid Time Off, paid holidays, Volunteer time off and more

Protection Plans including; Life Insurance, Disability Insurance and Travel benefit plans

Perks Allowance to be used on what matters most to you, whether that’s wellness, learning and development, food & groceries, and much more

Parental benefits including; Parental Leave, Child and Adult Care, Day Care FSA (US Only), Fertility Benefits (US Only), Adoption and Surrogacy support and Lactation Support

Mental Health and Wellness benefits Free Dropbox space for your friends and family

Additional benefits details are available upon request.

Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland).",-1.0,"Dropbox
4.5",Remote,-1,-1,unknown,unknown,unknown,-1,60,140,100.0,Dropbox4.5,Remote,-1,1,1,1,0,0,data scientist,na,Remote,6481
19,Data Scientist,$60K - $140K (Employer est.),"No Relocation Assistance Offered
# 154386 - Piscataway, New Jersey, United States
Ready for a career that combines global collaboration, continuous learning, and positive impact? At Colgate, we offer you the chance to be a part of something bigger than just a job!

Our iconic brands, sustainability commitment, and innovative culture set the stage for an inspiring workplace. We value creativity, experimentation, and authenticity, driving our enduring success and building a future to smile about for our employees, consumers, and communities.

As a Data Scientist on our Advanced Analytics team, you'll shape Colgate's future by developing powerful data products, implementing machine learning models, and optimizing our data science architecture. Join our collaborative team of innovators and technologists.
Your role? Lead advanced analytics projects for our Global Supply Chain, using your discernment and technical skills to generate insights that drive business decisions.

Unlock a career that leaves you smiling every day at Colgate!",4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),60,140,100.0,Colgate-Palmolive,NJ,217,0,0,0,0,0,data scientist,na,NJ,1043
20,"Data Scientist, Analytics",$60K - $140K (Employer est.),"About Us:
At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.

Parafin's first product offers capital-as-a-service for online platforms. Parafin currently powers the capital programs of platforms ranging from Series B to post-IPO companies such as DoorDash, Amazon, and Worldpay. We are a tight-knit team of engineers and designers, coming from organizations such as Stripe, Square, Plaid, Coinbase, Robinhood, Affirm, Uber, and CERN, and are excited both about helping hundreds of thousands of small businesses grow and thrive, and building products that leaders at top companies have started to use every day.

We are backed by prominent venture capitalists such as Ribbit Capital, Thrive Capital, GIC, Index Ventures, Green Oaks Capital, and SV Angel.",4.7,"Parafin
4.7","San Francisco, CA",51 to 200 Employees,2020,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,60,140,100.0,Parafin,CA,3,0,0,0,0,0,data scientist,na,CA,998
21,Data Scientist,$60K - $140K (Employer est.),"Data Scientist
Eastport Analytics has an immediate opportunity for a full time Data Scientist with strong SQL & Python experience. Our data subject matter experts, technologists, and domain/industry specialists work directly with financial investigators, auditors, and analysts to gain better insights out of existing structured/unstructured data and IT systems. These teams drive innovation that allows their clients to modernize their data strategy, understand and improve their data management, automate, and optimize their business and technological procedures, and build insights through modeling, reporting, and generalized data analytics. We measure success by our client’s mission accomplishments, be it higher compliance, improved asset recovery, or enhanced law/tax enforcement.
As a Data Scientist, you will be performing data manipulation, data analysis, and data wrangling/ETL. You will be using statistical software and other exploratory data analysis (EDA) tools/techniques to inform senior leadership decision-making. You will be responsible for building, maintaining, executing, and documenting SQL models to ensure data is managed efficiently and effectively for our client. This role includes developing and implementing databases and data collection systems, acquiring data from primary and secondary sources, maintaining data ingest processes and identifying/analyzing/interpreting trends or patterns in complex datasets.",-1.0,Eastport Analytics,Remote,1 to 50 Employees,2002,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,60,140,100.0,Eastport Analytics,Remote,21,1,1,0,0,0,data scientist,na,Remote,1442
22,Senior Data Scientist,$60K - $140K (Employer est.),"As Senior Data Scientist, you will:
Lead and conduct statistical analysis, quantitative analytics, and predictive analytics to identify key drivers and make informed business decisions.
Design and execute experiments in a business context, utilizing your expertise in multivariate testing and causal inference to uncover insights and improve operations.
Develop and maintain a comprehensive knowledge repository, organizing findings from experiments and observational data to create a robust knowledge base.
Collaborate with cross-functional teams to implement data-driven insights into strategic decision-making processes.",-1.0,Health Rhythms,Remote,1 to 50 Employees,-1,Company - Public,unknown,unknown,Unknown / Non-Applicable,60,140,100.0,Health Rhythms,Remote,-1,0,0,0,0,0,data scientist,senior,Remote,623
23,Senior Data Scientist,$60K - $140K (Employer est.),"As Senior Data Scientist, you will:
Lead and conduct statistical analysis, quantitative analytics, and predictive analytics to identify key drivers and make informed business decisions.
Design and execute experiments in a business context, utilizing your expertise in multivariate testing and causal inference to uncover insights and improve operations.
Develop and maintain a comprehensive knowledge repository, organizing findings from experiments and observational data to create a robust knowledge base.
Collaborate with cross-functional teams to implement data-driven insights into strategic decision-making processes.",-1.0,Health Rhythms,Remote,-1,-1,unknown,unknown,unknown,-1,60,140,100.0,Health Rhythms,Remote,-1,0,0,0,0,0,data scientist,senior,Remote,623
